inchikey,target_domain_macro,n_standard_types,standard_types,n_records,n_targets,n_assays,z_potency_equal_mean,z_potency_equal_median,z_potency_record_weighted,delta_equal_mean_minus_record_weighted,delta_equal_median_minus_equal_mean
CEBBHGDAHZDJTP-FNORWQNLSA-N,General Assays and Safety,1,IC50,1,1,1,-1.56705835212596,-1.56705835212596,-1.5670583521259562,-3.774758283725532e-15,0
CEBBHGDAHZDJTP-FNORWQNLSA-N,Inflammation and Proteolysis,1,IC50,2,1,2,-1.15488074717033,-1.15488074717033,-1.1548807471703337,3.774758283725532e-15,0
CEBBHGDAHZDJTP-FNORWQNLSA-N,Phenotypic: Cancer and Cells,1,IC50,1,1,1,-0.492225617410945,-0.492225617410945,-0.4922256174109448,-2.220446049250313e-16,0
CEBBHGDAHZDJTP-FNORWQNLSA-N,Transporters and Ion Channels,1,IC50,2,1,2,1.12269923918414,1.12269923918414,1.1226992391841375,2.4424906541753444e-15,0
CFGUDCVYJGCIHR-UHFFFAOYSA-N,Infectious Diseases,1,IC50,2,2,2,-1.19313684835833,-1.19313684835833,-1.1931368483583313,1.3322676295501878e-15,0
CFWLRXJPRRCJTI-UHFFFAOYSA-N,General Assays and Safety,1,EC50,1,1,1,1.45866509646471,1.45866509646471,1.4586650964647132,-3.1086244689504383e-15,0
CFWLRXJPRRCJTI-UHFFFAOYSA-N,Metabolic Enzymes,2,IC50;Ki,2,2,2,-1.4769153704307598,-1.4769153704307598,-1.4769153704307607,8.881784197001252e-16,0
CFWLRXJPRRCJTI-UHFFFAOYSA-N,Neuroscience Targets,1,EC50,1,1,1,1.47402441134351,1.47402441134351,1.474024411343511,-1.1102230246251565e-15,0
CGIBCVBDFUTMPT-RMKNXTFCSA-N,Cell Signaling and Survival,1,IC50,1,1,1,-0.170473904214093,-0.170473904214093,-0.17047390421409261,-3.885780586188048e-16,0
CGIBCVBDFUTMPT-RMKNXTFCSA-N,Infectious Diseases,1,IC50,1,1,1,-0.419927656993528,-0.419927656993528,-0.4199276569935279,-1.1102230246251565e-16,0
CGIBCVBDFUTMPT-RMKNXTFCSA-N,Phenotypic: Cancer and Cells,1,IC50,1,1,1,0.248877388839894,0.248877388839894,0.24887738883989366,3.3306690738754696e-16,0
CGIBCVBDFUTMPT-RMKNXTFCSA-N,Transporters and Ion Channels,1,IC50,2,1,2,0.182043666978476,0.182043666978476,0.18204366697847577,2.220446049250313e-16,0
CHAAQDMHLLQJRO-UHFFFAOYSA-N,Metabolic Enzymes,1,IC50,4,4,4,-0.122756360012823,-0.122756360012823,-0.12275636001282338,3.7470027081099033e-16,0
CHAAQDMHLLQJRO-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,1,IC50,2,1,2,-0.148787638904458,-0.148787638904458,-0.1487876389044581,8.326672684688674e-17,0
CHBPBJKGYCNSLI-UHFFFAOYSA-N,Neuroscience Targets,1,IC50,2,2,2,0.83992920511496,0.83992920511496,0.8399292051149603,-2.220446049250313e-16,0
