family,genus,species_binomial,n_occurrence_rows,n_compounds,n_references,representative_allowed,representative_exclusion_reason,representative_source,tree_species,representative_taxonomy_status
Lycopodiaceae,Huperzia,Huperzia lucidula,2,2,1,TRUE,,observed_binomial_species,Huperzia_lucidula,compatible
Lythraceae,Punica,Punica granatum,33,30,10,TRUE,,observed_binomial_species,Punica_granatum,compatible
Malpighiaceae,Byrsonima,Byrsonima crassifolia,22,17,3,TRUE,,observed_binomial_species,Byrsonima_crassifolia,compatible
Malvaceae,Theobroma,Theobroma cacao,42,18,15,TRUE,,observed_binomial_species,Theobroma_cacao,compatible
Marcgraviaceae,Norantea,Norantea guianensis,1,1,1,TRUE,,observed_binomial_species,Norantea_guianensis,compatible
Marchantiaceae,Marchantia,Marchantia polymorpha,2,2,1,TRUE,,observed_binomial_species,Marchantia_polymorpha,compatible
Melanthiaceae,Schoenocaulon,Schoenocaulon officinale,5,5,1,TRUE,,observed_binomial_species,Schoenocaulon_officinale,compatible
Melastomataceae,Melastoma,Melastoma malabathricum,13,13,3,TRUE,,observed_binomial_species,Melastoma_malabathricum,compatible
Meliaceae,Soymida,Soymida febrifuga,31,31,1,TRUE,,observed_binomial_species,Soymida_febrifuga,compatible
Menispermaceae,Tinospora,Tinospora sinensis,2,2,1,TRUE,,observed_binomial_species,Tinospora_sinensis,compatible
Mniaceae,Mnium,Mnium hornum,9,9,1,TRUE,,observed_binomial_species,Mnium_hornum,compatible
Molluginaceae,Mollugo,Mollugo pentaphylla,2,2,1,TRUE,,observed_binomial_species,Mollugo_pentaphylla,compatible
Moraceae,Morus,Morus alba,277,162,69,TRUE,,observed_binomial_species,Morus_alba,compatible
Muntingiaceae,Muntingia,Muntingia calabura,55,46,5,TRUE,,observed_binomial_species,Muntingia_calabura,compatible
Musaceae,Musa,Musa acuminata,6,4,3,TRUE,,observed_binomial_species,Musa_acuminata,compatible
Myricaceae,Myrica,Myrica rubra,44,24,9,TRUE,,observed_binomial_species,Myrica_rubra,compatible
Myristicaceae,Iryanthera,Iryanthera laevis,29,26,5,TRUE,,observed_binomial_species,Iryanthera_laevis,compatible
Myrtaceae,Syzygium,Syzygium nervosum,43,39,3,TRUE,,observed_binomial_species,Syzygium_nervosum,compatible
Namaceae,Eriodictyon,Eriodictyon californicum,12,10,4,TRUE,,observed_binomial_species,Eriodictyon_californicum,compatible
Nelumbonaceae,Nelumbo,Nelumbo nucifera,10,8,4,TRUE,,observed_binomial_species,Nelumbo_nucifera,compatible
Nothofagaceae,Nothofagus,Nothofagus fusca,3,3,2,TRUE,,observed_binomial_species,Nothofagus_fusca,compatible
Nyctaginaceae,Mirabilis,Mirabilis jalapa,17,15,2,TRUE,,observed_binomial_species,Mirabilis_jalapa,compatible
Nymphaeaceae,Nymphaea,Nymphaea nouchali,10,10,2,TRUE,,observed_binomial_species,Nymphaea_nouchali,compatible
Ochnaceae,Lophira,Lophira lanceolata,19,15,8,TRUE,,observed_binomial_species,Lophira_lanceolata,compatible
Olacaceae,Heisteria,Heisteria acuminata,2,2,1,TRUE,,observed_binomial_species,Heisteria_acuminata,compatible
Oleaceae,Olea,Olea europaea,1,1,1,TRUE,,observed_binomial_species,Olea_europaea,compatible
Onagraceae,Epilobium,Epilobium angustifolium,10,10,1,TRUE,,observed_binomial_species,Epilobium_angustifolium,compatible
Onocleaceae,Pentarhizidium,Pentarhizidium orientale,27,19,4,TRUE,,observed_binomial_species,Pentarhizidium_orientale,compatible
Ophioglossaceae,Helminthostachys,Helminthostachys zeylanica,2,2,1,TRUE,,observed_binomial_species,Helminthostachys_zeylanica,compatible
Orchidaceae,Pleione,Pleione bulbocodioides,27,27,3,TRUE,,observed_binomial_species,Pleione_bulbocodioides,compatible
Oxalidaceae,Averrhoa,Averrhoa carambola,6,6,1,TRUE,,observed_binomial_species,Averrhoa_carambola,compatible
Paeoniaceae,Paeonia,Paeonia obovata,8,8,1,TRUE,,observed_binomial_species,Paeonia_obovata,compatible
Pandaceae,Panda,Panda oleosa,2,2,1,TRUE,,observed_binomial_species,Panda_oleosa,compatible
Papaveraceae,Argemone,Argemone mexicana,3,3,2,TRUE,,observed_binomial_species,Argemone_mexicana,compatible
Paracryphiaceae,Quintinia,Quintinia serrata,9,9,1,TRUE,,observed_binomial_species,Quintinia_serrata,compatible
Passifloraceae,Turnera,Turnera diffusa,2,2,1,TRUE,,observed_binomial_species,Turnera_diffusa,compatible
Paulowniaceae,Paulownia,Paulownia tomentosa,148,99,8,TRUE,,observed_binomial_species,Paulownia_tomentosa,compatible
